ref,chain_id,chain_name,name,email,city,addr_full,phone,lat,lon,website
7801db719b414cd69393231808b22638,301855,Maharashtra Natural Gas,Lt. col. Shaheed Prakash Patil,customercare@mngl.in,Ambegaon,Ambegaon PMC Pune - Banglore Highway Highway - 48,18002662696,18.457583,73.828944,https://mngl.in/
22d756e4c58a4692816ee9282c5bc996,301855,Maharashtra Natural Gas,Vardhman Petrol Depot,customercare@mngl.in,Warje,Warje PMC Pune - Banglore HighwayHighway - 48,18002662696,18.482972,73.80225,https://mngl.in/
30f6b45fb9e64b78b894d89807f2254c,301855,Maharashtra Natural Gas,Chaudhary CNG,customercare@mngl.in,Warje,Warje PMC Pune - Banglore HighwayHighway - 48,18002662696,18.482278,73.803056,https://mngl.in/
fdb41a244803434b90c6bd23de50d35e,301855,Maharashtra Natural Gas,Sai Sayaji Service,customercare@mngl.in,Paud Road,Paud Road PMC Pune - Banglore HighwayHighway - 48,18002662696,18.508417,73.792222,https://mngl.in/
ed965dbe1fc64062b876e5cb51ac51b2,301855,Maharashtra Natural Gas,LMD CNG,customercare@mngl.in,Bavdhan,Bavdhan PMC Pune - Banglore HighwayHighway - 48,18002662696,18.511278,73.771028,https://mngl.in/
bb9e13e98cd14c06a116bad0bec8017b,301855,Maharashtra Natural Gas,E-Way Siddhivinayak,customercare@mngl.in,Punawale,Punawale PCMC Pune - Banglore HighwayHighway - 48,18002662696,18.639472,73.738417,https://mngl.in/
c87b67ec10c9453489a4a10edec15c90,301855,Maharashtra Natural Gas,Sai Expressway Service,customercare@mngl.in,Tathawade,Tathawade PCMC Pune - Banglore HighwayHighway - 48,18002662696,18.628167,73.742861,https://mngl.in/
6517724314c9491980710db1209fc440,301855,Maharashtra Natural Gas,SK Enterprise,customercare@mngl.in,tathawade,tathawade PCMC Pune - Banglore HighwayHighway - 48,18002662696,18.601361,73.754167,https://mngl.in/
8217a1f38efb46dd973bae5ab88f7103,301855,Maharashtra Natural Gas,Balwadkar Auto Services,customercare@mngl.in,Wakad,Wakad PCMC Pune - Banglore HighwayHighway - 48,18002662696,18.601361,73.754167,https://mngl.in/
03530778e47d46adb30f0341397b3d0c,301855,Maharashtra Natural Gas,Shinde Petroleum,customercare@mngl.in,Kiwale,Kiwale PCMC Pune - Banglore HighwayHighway - 48,18002662696,18.668278,73.727944,https://mngl.in/
79a42504e62b4c0ab8075539bb708b49,301855,Maharashtra Natural Gas,BP CO Expressway,customercare@mngl.in,Parandewadi,Parandewadi PCMC Pune - Banglore HighwayHighway - 48,18002662696,18.712222,73.65225,https://mngl.in/
4f2791636e9b442fa6086c6377d3a7c4,301855,Maharashtra Natural Gas,Progrowth Enterprises,customercare@mngl.in,Dapodi,Dapodi PCMC Old Pune-Mumbai Highway,18002662696,18.585056,73.833194,https://mngl.in/
03eb1b4f2c8d4a9395e7d60716333b80,301855,Maharashtra Natural Gas,Saigauri Petroleum,customercare@mngl.in,Kasarwadi,Kasarwadi PCMC Old Pune-Mumbai Highway,18002662696,18.598417,73.828111,https://mngl.in/
3f48f5f245b7495b9baef08dc2061ea5,301855,Maharashtra Natural Gas,Pimple Petroleum,customercare@mngl.in,Pimpri,Pimpri PCMC Old Pune-Mumbai Highway,18002662696,18.648833,73.786806,https://mngl.in/
f7e72f60dd9a46798fd0baf8863950a1,301855,Maharashtra Natural Gas,Shree Balaji,customercare@mngl.in,Nigadi,Nigadi PCMC Old Pune-Mumbai Highway,18002662696,18.664667,73.770278,https://mngl.in/
b1e8caf64769475bb07be7f817da6672,301855,Maharashtra Natural Gas,ABC India ltd,customercare@mngl.in,Talegaon,Talegaon PCMC Old Pune-Mumbai Highway,18002662696,18.719,73.669917,https://mngl.in/
7b27a6f36d784d6c8f9531fdb7bcc96b,301855,Maharashtra Natural Gas,Goodwill Enterprise,customercare@mngl.in,Bhosari,Bhosari PCMC Pune - Nasik Highway,18002662696,18.619583,73.829944,https://mngl.in/
d793b1ac531348efbd7537e542dfbdae,301855,Maharashtra Natural Gas,Swamy Samarth Service station',customercare@mngl.in,Bhosari,Bhosari PCMC Pune - Nasik Highway,18002662696,18.616611,73.842972,https://mngl.in/
48217951f44a413e9babc3bf6b8ccd5d,301855,Maharashtra Natural Gas,Sarhaan Petroleum,customercare@mngl.in,Bhosari,Bhosari PCMC Pune - Nasik Highway,18002662696,18.627583,73.852722,https://mngl.in/
cea2f4568d094994aded206d182f38fb,301855,Maharashtra Natural Gas,D R Gavhane Petroleum,customercare@mngl.in,Bhosari,Bhosari PCMC Pune - Nasik Highway,18002662696,18.624889,73.860528,https://mngl.in/
5ece9876ca6340de8955636da5080f2a,301855,Maharashtra Natural Gas,kajale and sons,customercare@mngl.in,Moshi,Moshi PCMC Pune - Nasik Highway,18002662696,18.658639,73.849389,https://mngl.in/
c28d35876f3c432384a07127c0893389,301855,Maharashtra Natural Gas,Samruddhi CNG,customercare@mngl.in,Nanekarwadi,Nanekarwadi PCMC Pune - Nasik Highway,18002662696,18.73825,73.857806,https://mngl.in/
53e0ae31b8594e3883d2a3922569d619,301855,Maharashtra Natural Gas,Devendra Autolines,customercare@mngl.in,Nanekarwadi,Nanekarwadi PCMC Pune - Nasik Highway,18002662696,18.737806,73.858139,https://mngl.in/
052710525b794dc8a037a607524a97ce,301855,Maharashtra Natural Gas,Chakan petrol Depot,customercare@mngl.in,Chakan,Chakan PCMC Pune - Nasik Highway,18002662696,18.760917,73.859806,https://mngl.in/
0ad7eccf06f143959fb8571b58801996,301855,Maharashtra Natural Gas,Akshay Kiran Petroleum,customercare@mngl.in,Chakan,Chakan PCMC Pune - Nasik Highway,18002662696,18.773472,73.868333,https://mngl.in/
